Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
1992.5122,False,False,False,266759,,Photographs,1992,Photograph,Diver Recovers Body from East River,,,,,,5555,Artist, ,Andrew Savulich,"American, born 1949", ,"Savulich, Andrew",American,1949      ,9999      ,,(not assigned),https://www.wikidata.org/wiki/Q98601436,1989,1989,1989,Gelatin silver print,16.4 x 24.6 cm. (6  7/16  x 9  11/16  in.),"Gift of the artist, 1992",,,,,,,,,,,,Photographs,© Andrew Savulich,http://www.metmuseum.org/art/collection/search/266759,,,"Metropolitan Museum of Art, New York, NY",,,
59.208.10,False,False,True,202345,,European Sculpture and Decorative Arts,1959,Group,Europe and America,"French, Orléans",,,,,3823,Manufactory, ,Orléans Manufactory,"French, 1753–82", ,Orléans Manufactory,French,1753      ,1782      ,,,,ca. 1760–70,1755,1775,Soft-paste porcelain,Height: 10 7/16 in. (26.5 cm),"Gift of Estate of James Hazen Hyde, 1959",,,,,,,,,,,,Ceramics-Porcelain,,http://www.metmuseum.org/art/collection/search/202345,,,"Metropolitan Museum of Art, New York, NY",Bow and Arrow|Men|Horses, |http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300250148,https://www.wikidata.org/wiki/Q19827042|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q726
63.350.246.206.8,False,False,False,412928,,Drawings and Prints,1963,Baseball card,"Spencer, Boston, American League, from the White Border series (T206) for the American Tobacco Company",,,,,,10450,Publisher,Issued by,American Tobacco Company, , ,American Tobacco Company, ,          ,          ,,(not assigned),https://www.wikidata.org/wiki/Q467075,1909–11,1909,1911,Commercial lithograph,Sheet: 2 5/8 x 1 7/16 in. (6.7 x 3.7 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/412928,,,"Metropolitan Museum of Art, New York, NY",Men|Portraits|Athletes,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300236025,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q2066131
1970.131.2,False,False,True,205199,509,European Sculpture and Decorative Arts,1970,Tankard,Tankard (one of a pair),"British mounts and German, Siegburg ceramic",,,,,,,,,,,,,,,,,,ca. 1580,1575,1585,"Gilded silver, stoneware",confirmed: 8 3/4 × 6 × 4 15/16 in. (22.2 × 15.2 × 12.5 cm),"Gift of Irwin Untermyer, 1968",,,,,,,,,,,,Metalwork-Silver In Combination,,http://www.metmuseum.org/art/collection/search/205199,https://www.wikidata.org/wiki/Q116400308,,"Metropolitan Museum of Art, New York, NY",Birds|Faces,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300251798,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q37017
10.100.93,False,False,False,191444,,European Sculpture and Decorative Arts,1910,Key,Latch key,possibly French,,,,,,,,,,,,,,,,,,19th century,1800,1899,Iron,Length: 2 7/8 in. (7.3 cm),"Rogers Fund, 1910",,,,,,,,,,,,Metalwork-Iron,,http://www.metmuseum.org/art/collection/search/191444,,,"Metropolitan Museum of Art, New York, NY",,,
1994.264.111.126,False,False,False,291686,,Photographs,1994,Postcard,[Postcard from Peter Sekaer to Walker Evans and Filed by the Artist with his Collection of Postcards],,,,,,16186916535,Correspondent|Correspondent, | ,Walker Evans|Peter Sekaer,"American, St. Louis, Missouri 1903–1975 New Haven, Connecticut|American (born Denmark), Copenhagen 1901–1950 Ardsley, New York", | ,"Evans, Walker|Sekaer, Peter","American|American, born Denmark",1903      |1901      ,1975      |1950      ,|,http://vocab.getty.edu/page/ulan/500012076|http://vocab.getty.edu/page/ulan/500343274,https://www.wikidata.org/wiki/Q363308|https://www.wikidata.org/wiki/Q7176859,ca. 1910–37,1905,1937,Photomechanical print,8.9 x 14 cm (3 1/2 x 5 1/2 in.),"Walker Evans Archive, 1994",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/291686,,,"Metropolitan Museum of Art, New York, NY",Animals|Farms|Women,http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/aat/300000206|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q131596|https://www.wikidata.org/wiki/Q467
27.199.155,False,False,True,196227,,European Sculpture and Decorative Arts,1927,Tile,Tile,Dutch,,,,,,,,,,,,,,,,,,1620–40,1620,1640,Tin-glazed earthenware,Overall: 3 1/2 × 3 1/2 in. (8.9 × 8.9 cm),"Fletcher Fund, 1927",,,,,,,,,,,,Ceramics-Pottery,,http://www.metmuseum.org/art/collection/search/196227,,,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506
74.51.1390,False,False,False,240962,,Greek and Roman Art,1874,Bell-krater fragment,Bell-krater fragment,"Greek, Attic",Classical,,,,,,,,,,,,,,,,,mid–5th century BCE,-475,-425,Terracotta,4 3/4 x 4 3/16in. (12.1 x 10.6cm),"The Cesnola Collection, Purchased by subscription, 1874–76",,,,,,,,,,,,Vases,,http://www.metmuseum.org/art/collection/search/240962,,,"Metropolitan Museum of Art, New York, NY",,,
53.226.5 verso,False,False,True,16407,,The American Wing,1953,Drawing,Half-Length Figure Sketch,American,,,,,16172,Artist, ,Mather Brown,"American, Boston, Massachusetts 1761–1831 London", ,"Brown, Mather",American,1761      ,1831      ,,http://vocab.getty.edu/page/ulan/500001228,https://www.wikidata.org/wiki/Q6786928,,1761,1831,"Graphite on off-white laid paper

",9 x 6 15/16 in. (22.9 x 17.6 cm),"Rogers Fund, 1953",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/16407,,,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
2009.5.14,False,False,False,290405,,Photographs,2009,Photograph,"Barbara Jordan, U.S. Congresswoman, Texas, New York City, July 14, 1976",,,,,,1616376046,Artist|Person in Photograph, | ,Richard Avedon|Barbara Jordan,"American, New York 1923–2004 San Antonio, Texas| ", | ,"Avedon, Richard|Jordan, Barbara",American| ,1923      |          ,2004      |          ,|,http://vocab.getty.edu/page/ulan/500013773|,https://www.wikidata.org/wiki/Q305497|,1976,1976,1976,Gelatin silver print,"Image: 25.4 x 20.3 cm (10 x 8 in.)
Sheet: 35.6 x 27.9 cm (14 x 11 in.)","Purchase, Alfred Stieglitz Society Gifts, 2009",,,,,,,,,,,,Photographs,© THE RICHARD AVEDON FOUNDATION,http://www.metmuseum.org/art/collection/search/290405,,,"Metropolitan Museum of Art, New York, NY",,,
